id	geoLocCountry	sampleCollectionDate	authors	authorAffiliations	hostNameScientific	collectionDevice	collectionMethod	cultureId	depthOfCoverage	geoLocAdmin1	geoLocAdmin2	sampleReceivedDate	sequencingDate	sequencingInstrument	sequencingProtocol	specimenCollectorSampleId	versionComment
AB204852.1	Australia	2009-10-02	Author, Name	Research Institute						Sydney							
EU376004.1	Canada	2024-11-23	Author, Name	Research Institute						Calgary							
GQ231928.1	France	2003-11-05	Author, Name	Research Institute						Lyon							
PP548269.1	Spain	2004-01-29	Author, Name	Research Institute						Barcelona							
PP548251.1	Italy	2011-01-23	Author, Name	Research Institute						Palermo							
PP548261.1	Germany	2012-06-10	Author, Name	Research Institute						Hamburg							
MH716308.1	Spain	2000-09-22	Author, Name	Research Institute						Bilbao							
MH716342.1	France	2004-02-11	Author, Name	Research Institute						Nice							
MH716297.1	Germany	2019-12-30	Author, Name	Research Institute						Frankfurt							
KJ686133.1	France	2007-03-15	Author, Name	Research Institute						Paris							
MG756723.1	Canada	2013-10-15	Author, Name	Research Institute						Calgary							
JX111890.1	Spain	2003-04-07	Author, Name	Research Institute						Barcelona							
JN544418.1	Canada	2012-01-25	Author, Name	Research Institute						Ottawa							
KF312457.1	Australia	2020-03-05	Author, Name	Research Institute						Sydney							
MG976582.1	Japan	2008-02-22	Author, Name	Research Institute						Osaka							
DQ133458.1	Canada	2009-06-29	Author, Name	Research Institute						Ottawa							
FJ357373.1	Japan	2000-01-02	Author, Name	Research Institute						Yokohama							
LC506516.1	Spain	2017-07-15	Author, Name	Research Institute						Barcelona							
ON502200.1	Spain	2007-11-14	Author, Name	Research Institute						Bilbao							
ON502179.1	USA	2009-12-18	Author, Name	Research Institute						Chicago							
ON502241.1	Canada	2012-02-19	Author, Name	Research Institute						Toronto							
PQ284496.1	Japan	2017-12-04	Author, Name	Research Institute						Tokyo							
OQ091597.1	Brazil	2000-08-29	Author, Name	Research Institute						Fortaleza							
PQ284500.1	Canada	2017-08-25	Author, Name	Research Institute						Vancouver							
KC436270.1	Canada	2014-05-09	Author, Name	Research Institute						Montreal							
MT360986.1	Canada	2002-03-11	Author, Name	Research Institute						Vancouver							
KF974780.1	France	2022-01-27	Author, Name	Research Institute						Lyon							
MF662684.1	Italy	2004-06-30	Author, Name	Research Institute						Naples							
HQ424435.2	Italy	2014-05-24	Author, Name	Research Institute						Milan							
JQ804832.1	Canada	2024-09-27	Author, Name	Research Institute						Montreal							
OQ091582.1	Spain	2019-07-21	Author, Name	Research Institute						Barcelona							
PQ284489.1	Australia	2014-03-09	Author, Name	Research Institute						Brisbane							
OQ091604.1	Germany	2010-12-26	Author, Name	Research Institute						Berlin							
MH716347.1	Germany	2008-02-08	Author, Name	Research Institute						Berlin							
KU641502.1	Spain	2024-03-23	Author, Name	Research Institute						Seville							
OQ355769.1	USA	2016-01-15	Author, Name	Research Institute						Los Angeles							
LC375765.1	Germany	2024-05-10	Author, Name	Research Institute						Berlin							
MT188611.1	Japan	2008-01-16	Author, Name	Research Institute						Kyoto							
MH716358.1	Brazil	2005-08-04	Author, Name	Research Institute						São Paulo							
MH716337.1	Brazil	2021-09-27	Author, Name	Research Institute						Brasília							
KX372330.1	Australia	2005-03-25	Author, Name	Research Institute						Perth							
MH511201.1	Australia	2007-08-23	Author, Name	Research Institute						Melbourne							
MH511187.1	Japan	2017-06-02	Author, Name	Research Institute						Sapporo							
MH511206.1	Italy	2020-05-01	Author, Name	Research Institute						Turin							
LC506514.1	Spain	2001-11-05	Author, Name	Research Institute						Barcelona							
LC626884.1	Spain	2021-11-04	Author, Name	Research Institute						Barcelona							
LC375766.1	Japan	2022-04-27	Author, Name	Research Institute						Kyoto							
LR027542.1	USA	2006-04-30	Author, Name	Research Institute						Phoenix							
MN053430.1	Japan	2016-07-07	Author, Name	Research Institute						Kyoto							
MG208882.1	Germany	2020-03-19	Author, Name	Research Institute						Berlin							
MN053432.1	Spain	2002-10-18	Author, Name	Research Institute						Barcelona							
KC436268.1	Italy	2001-08-29	Author, Name	Research Institute						Milan							
AB575942.1	USA	2000-09-08	Author, Name	Research Institute						Houston							
EU753407.2	Australia	2001-03-15	Author, Name	Research Institute						Adelaide							
HQ423142.1	Brazil	2024-12-04	Author, Name	Research Institute						Brasília							
GQ994992.1	Italy	2015-07-26	Author, Name	Research Institute						Palermo							
HQ998852.1	Japan	2013-11-19	Author, Name	Research Institute						Yokohama							
FJ357375.1	Germany	2010-10-25	Author, Name	Research Institute						Hamburg							
LC375764.1	France	2025-06-26	Author, Name	Research Institute						Lyon							
ON502280.1	Japan	2020-05-16	Author, Name	Research Institute						Osaka							
ON502317.1	Italy	2015-05-05	Author, Name	Research Institute						Rome							
ON502366.1	Spain	2006-03-09	Author, Name	Research Institute						Barcelona							
