submissionId	clade	sampleCollectionDate	geoLocCountry	geoLocAdmin1	authors	authorAffiliations	hostNameScientific	length	earliestReleaseDate	groupName	dataUseTerms	dataUseTermsUrl	biosampleAccession	completeness	geoLocAdmin2	geoLocCity	insdcAccessionFull	insdcRawReadsAccession	isLabHost	specimenCollectorSampleId	totalAmbiguousNucs	totalUnknownNucs
AY839634.1	Clade III	1986	Central African Republic		"Daffis, S.; Kontermann, R. E.; Korimbocus, J.; Zeller, H.; Klenk, H.-D.; ter Meulen, J."	"Pasteur Institute, Unite de Biologie des Infections Virales Emergentes"		1479	2005-12-01	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.13616276928742400			AY839634.1			HB1782/CAR86	0	0
HM582847.1	Clade VII	2006	Bolivia		"Auguste, A. J.; Lemey, P.; Pybus, O. G.; Suchard, M. A.; Salas, R. A.; Adesiyun, A. A.; Barrett, A. D.; Tesh, R. B.; Weaver, S. C.; Carrington, C. V."	"Faculty of Medical Sciences, University of the West Indies, Department of Preclinical Sciences"	Homo sapiens	654	2010-07-26	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.06020990609464190			HM582847.1			FVB0196	0	0
MG757496.1	Clade II	2016	Uganda		"Hughes, H. R.; Kayiwa, J.; Mossel, E. C.; Lutwama, J.; Staples, J. E.; Lambert, A. J.; Mosell, E. C."	"Centers for Disease Control and Prevention, Division of Vector-borne Diseases"		693	2018-06-13	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.06380040508193700			MG757496.1			Uganda 2016	0	0
MW158359.1	Clade VII	1998-01-20	Peru		"Queiroz, A. L. N.; Barros, R. S.; Silva, S. P.; Rodrigues, D. S. G.; Cruz, A. C. R.; Dos Santos, F. B.; Vasconcelos, P. F. C.; Tesh, R. B.; Nunes, B. T. D.; Medeiros, D. B. A.; Tesh, R."	"Evandro Chagas Institute, Department of Arbovirology and Hemorrhagic Fevers"	Homo sapiens	10668	2021-07-27	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9883078622721410			MW158359.1			IQT5591/TVP21819	0	0
MW960207.1	Clade III	2018	Central African Republic		"Simo Tchetgna, H.; Descorps-Declere, S.; Selekon, B.; Garba-Ouangole, S.; Konamna, X.; Soungouza, M.; Tekpa, G.; Somse, P.; Nakoune, E.; Berthet, N.; Descorp-Declere, S.; Sem, R."	"Centre for Research in Infectious Disease, Microbiology and Parasitology"	Homo sapiens	10830	2022-11-19	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9995396796170130			MW960207.1			18/YF118	3	2
OR542560.1	Clade V	2022-09-19	France		"Eldin, C.; Le Hir, A.; Keller, G.; Malvy, D.; Marquine, S.; Klitting, R.; Piorkowski, G.; Gueulen, M.; Canivez, T.; Durand, G.; Grard, G.; de Lamballerie, X.; Amaral, R."	"Unite des Virus Emergents, Centre National de Reference des Arbovirus"	Homo sapiens	8314	2024-03-18	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.5804640029460510			OR542560.1			YFV|64148|FRA|2022-09-19	0	2009
PQ186341.1	Clade II	1993-02-22	Kenya		"Zhang, J.; Chavez, E.; Lin, A. E.; Wang, D.; Winkler, M.; Tamura, T.; Carver, S.; Biswas, A.; Adamson, B.; Kleiner, R.; Burwitz, B.; Crossland, N.; Douam, F.; Ploss, A."	"Princeton University, Department of Molecular Biology"	Homo sapiens	10822	2025-08-01	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		1.0			PQ186341.1			BC7914	0	0
PV454339.1	Clade VI	2025-03-12	Brazil	"Sao Paulo, Guarulhos"	"Sacchi, C. T.; Campos, K. R.; Cunha, M. S."	"Instituto Adolfo Lutz, Strategic Laboratory"		10833	2025-04-14	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9986190388510400			PV454339.1			YFV/LEIAL4664/BRA/2025	0	0
PV454340.1	Clade VI	2025-03-19	Brazil	"Sao Paulo, Mairipora"	"Sacchi, C. T.; Campos, K. R.; Cunha, M. S."	"Instituto Adolfo Lutz, Strategic Laboratory"	Sapajus sp.	10833	2025-04-14	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9986190388510400			PV454340.1			YFV/LEIAL4700/BRA/2025	0	0
PX379991.1	Clade V	2024-10	Senegal		"Gaye, A.; Ndione, M. H. D.; Ndiaye, E. H.; Dieng, M.; Gaye, M.; Doukanda, S. F. M.; Sankhe, S.; Fall, G.; Weaver, S. C.; Diagne, M. M.; Diallo, M."	"Institut Pasteur de Dakar, Virology"	Culicidae	10764	2025-12-22	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9908856564168660			PX379991.1			PM435326	7	0
